agent_name,model,priming,round,balance
Agent-1,openai,neutral,44,1080
Agent-10,claude,neutral,44,1410
Agent-11,openai,neutral,44,820
Agent-12,claude,neutral,44,980
Agent-13,openai,neutral,44,550
Agent-14,claude,neutral,44,1680
Agent-15,openai,neutral,44,1150
Agent-16,claude,neutral,44,540
Agent-2,openai,neutral,44,400
Agent-3,openai,neutral,44,980
Agent-4,openai,neutral,44,800
Agent-5,claude,neutral,44,2160
Agent-6,claude,neutral,44,990
Agent-7,claude,neutral,44,1160
Agent-8,openai,neutral,44,710
Agent-9,claude,neutral,44,590
Agent-1,openai,neutral,45,1150
Agent-10,claude,neutral,45,1450
Agent-11,openai,neutral,45,870
Agent-12,claude,neutral,45,990
Agent-13,openai,neutral,45,500
Agent-14,claude,neutral,45,1690
Agent-15,openai,neutral,45,1160
Agent-16,claude,neutral,45,530
Agent-2,openai,neutral,45,400
Agent-3,openai,neutral,45,920
Agent-4,openai,neutral,45,750
Agent-5,claude,neutral,45,2200
Agent-6,claude,neutral,45,940
Agent-7,claude,neutral,45,1150
Agent-8,openai,neutral,45,770
Agent-9,claude,neutral,45,530
Agent-1,openai,neutral,46,1160
Agent-10,claude,neutral,46,1390
Agent-11,openai,neutral,46,930
Agent-12,claude,neutral,46,990
Agent-13,openai,neutral,46,450
Agent-14,claude,neutral,46,1690
Agent-15,openai,neutral,46,1170
Agent-16,claude,neutral,46,520
Agent-2,openai,neutral,46,400
Agent-3,openai,neutral,46,970
Agent-4,openai,neutral,46,700
Agent-5,claude,neutral,46,2200
Agent-6,claude,neutral,46,940
Agent-7,claude,neutral,46,1150
Agent-8,openai,neutral,46,770
Agent-9,claude,neutral,46,570
Agent-1,openai,neutral,47,1160
Agent-10,claude,neutral,47,1330
Agent-11,openai,neutral,47,920
Agent-12,claude,neutral,47,990
Agent-13,openai,neutral,47,450
Agent-14,claude,neutral,47,1700
Agent-15,openai,neutral,47,1280
Agent-16,claude,neutral,47,470
Agent-2,openai,neutral,47,350
