agent_name,model,priming,round,balance
Agent-3,claude,neutral,25,1100
Agent-4,claude,cooperative,25,1050
Agent-5,claude,competitive,25,850
Agent-6,openai,neutral,25,1000
Agent-7,claude,neutral,25,125
Agent-8,claude,strategic,25,1150
Agent-9,claude,strategic,25,1525
Agent-1,openai,neutral,26,950
Agent-10,claude,competitive,26,1200
Agent-11,openai,strategic,26,900
Agent-12,openai,competitive,26,1250
Agent-13,openai,cooperative,26,800
Agent-14,openai,cooperative,26,650
Agent-15,claude,cooperative,26,600
Agent-16,openai,competitive,26,900
Agent-2,openai,strategic,26,1850
Agent-3,claude,neutral,26,1150
Agent-4,claude,cooperative,26,1050
Agent-5,claude,competitive,26,900
Agent-6,openai,neutral,26,1000
Agent-7,claude,neutral,26,75
Agent-8,claude,strategic,26,1100
Agent-9,claude,strategic,26,1625
Agent-1,openai,neutral,27,900
Agent-10,claude,competitive,27,1150
Agent-11,openai,strategic,27,950
Agent-12,openai,competitive,27,1300
Agent-13,openai,cooperative,27,800
Agent-14,openai,cooperative,27,650
Agent-15,claude,cooperative,27,550
Agent-16,openai,competitive,27,850
Agent-2,openai,strategic,27,1900
Agent-3,claude,neutral,27,1100
Agent-4,claude,cooperative,27,1050
Agent-5,claude,competitive,27,950
Agent-6,openai,neutral,27,950
Agent-7,claude,neutral,27,75
Agent-8,claude,strategic,27,1150
Agent-9,claude,strategic,27,1675
Agent-1,openai,neutral,28,850
Agent-10,claude,competitive,28,1150
Agent-11,openai,strategic,28,1000
Agent-12,openai,competitive,28,1300
Agent-13,openai,cooperative,28,750
Agent-14,openai,cooperative,28,650
Agent-15,claude,cooperative,28,550
Agent-16,openai,competitive,28,800
Agent-2,openai,strategic,28,1950
Agent-3,claude,neutral,28,1150
Agent-4,claude,cooperative,28,1050
Agent-5,claude,competitive,28,1000
Agent-6,openai,neutral,28,950
Agent-7,claude,neutral,28,75
Agent-8,claude,strategic,28,1100
Agent-9,claude,strategic,28,1675
Agent-1,openai,neutral,29,850
Agent-10,claude,competitive,29,1150
Agent-11,openai,strategic,29,1000
Agent-12,openai,competitive,29,1300
Agent-13,openai,cooperative,29,700
Agent-14,openai,cooperative,29,700
Agent-15,claude,cooperative,29,550
Agent-16,openai,competitive,29,750
Agent-2,openai,strategic,29,1950
Agent-3,claude,neutral,29,1200
Agent-4,claude,cooperative,29,1000
Agent-5,claude,competitive,29,1050
Agent-6,openai,neutral,29,900
Agent-7,claude,neutral,29,75
Agent-8,claude,strategic,29,1150
Agent-9,claude,strategic,29,1675
Agent-1,openai,neutral,30,850
Agent-10,claude,competitive,30,1150
Agent-11,openai,strategic,30,1000
Agent-12,openai,competitive,30,1300
Agent-13,openai,cooperative,30,650
Agent-14,openai,cooperative,30,650
Agent-15,claude,cooperative,30,550
Agent-16,openai,competitive,30,750
Agent-2,openai,strategic,30,2000
Agent-3,claude,neutral,30,1250
Agent-4,claude,cooperative,30,1000
Agent-5,claude,competitive,30,1050
Agent-6,openai,neutral,30,850
Agent-7,claude,neutral,30,25
Agent-8,claude,strategic,30,1200
Agent-9,claude,strategic,30,1725
Agent-1,openai,neutral,31,850
Agent-10,claude,competitive,31,1125
Agent-11,openai,strategic,31,950
Agent-12,openai,competitive,31,1300
Agent-13,openai,cooperative,31,600
Agent-14,openai,cooperative,31,600
Agent-15,claude,cooperative,31,500
Agent-16,openai,competitive,31,700
Agent-2,openai,strategic,31,2000
Agent-3,claude,neutral,31,1300
Agent-4,claude,cooperative,31,1000
Agent-5,claude,competitive,31,1100
Agent-6,openai,neutral,31,900
Agent-7,claude,neutral,31,25
Agent-8,claude,strategic,31,1200
Agent-9,claude,strategic,31,1850
Agent-1,openai,neutral,32,850
Agent-10,claude,competitive,32,1075
Agent-11,openai,strategic,32,950
Agent-12,openai,competitive,32,1300
Agent-13,openai,cooperative,32,600
Agent-14,openai,cooperative,32,600
Agent-15,claude,cooperative,32,500
Agent-16,openai,competitive,32,700
Agent-2,openai,strategic,32,2000
Agent-3,claude,neutral,32,1300
Agent-4,claude,cooperative,32,1050
Agent-5,claude,competitive,32,1100
Agent-6,openai,neutral,32,900
Agent-7,claude,neutral,32,25
Agent-8,claude,strategic,32,1200
Agent-9,claude,strategic,32,1850
Agent-1,openai,neutral,33,850
Agent-10,claude,competitive,33,1025
Agent-11,openai,strategic,33,950
Agent-12,openai,competitive,33,1300
Agent-13,openai,cooperative,33,550
Agent-14,openai,cooperative,33,600
Agent-15,claude,cooperative,33,500
Agent-16,openai,competitive,33,650
Agent-2,openai,strategic,33,1950
Agent-3,claude,neutral,33,1300
Agent-4,claude,cooperative,33,1100
Agent-5,claude,competitive,33,1200
Agent-6,openai,neutral,33,850
Agent-7,claude,neutral,33,25
Agent-8,claude,strategic,33,1250
Agent-9,claude,strategic,33,1900
Agent-1,openai,neutral,34,800
Agent-10,claude,competitive,34,1000
Agent-11,openai,strategic,34,900
Agent-12,openai,competitive,34,1300
Agent-13,openai,cooperative,34,550
Agent-14,openai,cooperative,34,600
Agent-15,claude,cooperative,34,500
Agent-16,openai,competitive,34,600
Agent-2,openai,strategic,34,1950
Agent-3,claude,neutral,34,1350
Agent-4,claude,cooperative,34,1150
Agent-5,claude,competitive,34,1250
Agent-6,openai,neutral,34,800
Agent-7,claude,neutral,34,24
Agent-8,claude,strategic,34,1300
Agent-9,claude,strategic,34,1926
Agent-1,openai,neutral,35,800
Agent-10,claude,competitive,35,950
Agent-11,openai,strategic,35,900
Agent-12,openai,competitive,35,1300
Agent-13,openai,cooperative,35,550
Agent-14,openai,cooperative,35,600
Agent-15,claude,cooperative,35,500
Agent-16,openai,competitive,35,600
Agent-2,openai,strategic,35,1974
Agent-3,claude,neutral,35,1350
Agent-4,claude,cooperative,35,1150
Agent-5,claude,competitive,35,1250
Agent-6,openai,neutral,35,800
Agent-7,claude,neutral,35,0
Agent-8,claude,strategic,35,1300
Agent-9,claude,strategic,35,1976
Agent-1,openai,neutral,36,750
Agent-10,claude,competitive,36,960
Agent-11,openai,strategic,36,900
Agent-12,openai,competitive,36,1300
Agent-13,openai,cooperative,36,550
Agent-14,openai,cooperative,36,550
Agent-15,claude,cooperative,36,500
Agent-16,openai,competitive,36,600
Agent-2,openai,strategic,36,1974
Agent-3,claude,neutral,36,1350
Agent-4,claude,cooperative,36,1150
Agent-5,claude,competitive,36,1250
Agent-6,openai,neutral,36,840
Agent-7,claude,neutral,36,0
Agent-8,claude,strategic,36,1300
Agent-9,claude,strategic,36,2026
Agent-1,openai,neutral,37,750
Agent-10,claude,competitive,37,920
Agent-11,openai,strategic,37,900
Agent-12,openai,competitive,37,1350
Agent-13,openai,cooperative,37,550
Agent-14,openai,cooperative,37,500
Agent-15,claude,cooperative,37,500
Agent-16,openai,competitive,37,600
Agent-2,openai,strategic,37,1974
Agent-3,claude,neutral,37,1350
Agent-4,claude,cooperative,37,1150
Agent-5,claude,competitive,37,1200
Agent-6,openai,neutral,37,880
Agent-7,claude,neutral,37,0
Agent-8,claude,strategic,37,1300
Agent-9,claude,strategic,37,2076
Agent-1,openai,neutral,38,800
Agent-10,claude,competitive,38,870
Agent-11,openai,strategic,38,950
Agent-12,openai,competitive,38,1350
Agent-13,openai,cooperative,38,500
Agent-14,openai,cooperative,38,450
Agent-15,claude,cooperative,38,500
Agent-16,openai,competitive,38,600
Agent-2,openai,strategic,38,1964
Agent-3,claude,neutral,38,1300
Agent-4,claude,cooperative,38,1150
Agent-5,claude,competitive,38,1200
Agent-6,openai,neutral,38,830
Agent-7,claude,neutral,38,10
Agent-8,claude,strategic,38,1400
Agent-9,claude,strategic,38,2126
Agent-1,openai,neutral,39,850
Agent-10,claude,competitive,39,820
Agent-11,openai,strategic,39,1000
Agent-12,openai,competitive,39,1400
Agent-13,openai,cooperative,39,450
Agent-14,openai,cooperative,39,400
Agent-15,claude,cooperative,39,500
Agent-16,openai,competitive,39,600
Agent-2,openai,strategic,39,1919
Agent-3,claude,neutral,39,1300
Agent-4,claude,cooperative,39,1150
Agent-5,claude,competitive,39,1150
Agent-6,openai,neutral,39,855
Agent-7,claude,neutral,39,5
Agent-8,claude,strategic,39,1425
Agent-9,claude,strategic,39,2176
Agent-1,openai,neutral,40,925
Agent-10,claude,competitive,40,770
Agent-11,openai,strategic,40,1050
Agent-12,openai,competitive,40,1450
Agent-13,openai,cooperative,40,400
Agent-14,openai,cooperative,40,400
Agent-15,claude,cooperative,40,450
Agent-16,openai,competitive,40,600
Agent-2,openai,strategic,40,1924
Agent-3,claude,neutral,40,1300
Agent-4,claude,cooperative,40,1150
Agent-5,claude,competitive,40,1100
Agent-6,openai,neutral,40,805
Agent-7,claude,neutral,40,0
Agent-8,claude,strategic,40,1450
Agent-9,claude,strategic,40,2226
Agent-1,openai,neutral,41,975
Agent-10,claude,competitive,41,720
Agent-11,openai,strategic,41,1000
Agent-12,openai,competitive,41,1400
Agent-13,openai,cooperative,41,450
Agent-14,openai,cooperative,41,400
Agent-15,claude,cooperative,41,400
Agent-16,openai,competitive,41,650
Agent-2,openai,strategic,41,1974
Agent-3,claude,neutral,41,1300
Agent-4,claude,cooperative,41,1150
Agent-5,claude,competitive,41,1100
Agent-6,openai,neutral,41,805
Agent-7,claude,neutral,41,0
Agent-8,claude,strategic,41,1400
Agent-9,claude,strategic,41,2276
Agent-1,openai,neutral,42,925
Agent-10,claude,competitive,42,705
Agent-11,openai,strategic,42,950
Agent-12,openai,competitive,42,1400
Agent-13,openai,cooperative,42,500
Agent-14,openai,cooperative,42,400
Agent-15,claude,cooperative,42,350
Agent-16,openai,competitive,42,650
Agent-2,openai,strategic,42,2014
Agent-3,claude,neutral,42,1260
Agent-4,claude,cooperative,42,1150
Agent-5,claude,competitive,42,1100
Agent-6,openai,neutral,42,850
Agent-7,claude,neutral,42,0
